username,content,date,tweet_link,likes,retweets,quotes,comments,complete
@wizardofsoho,"YOU COULD HAVE BOIGHT$ETHfor $1050 a month ago, 800 few months back. Except both times you decided to learn leverage trading and bottom short. Just remember when you goto sleep tonight. You are paying for all my expenses. My entire next 5 years of balling is thanks to you pleb",2023-01-14 04:40:00,https://twitter.com/wizardofsoho/status/1614119865110986754#m,117.0,3.0,0.0,9.0,True
@KevinSusanto,Remember to Take Profit. Envision correction soon as volume is pretty low.$ETH$BTC🤝💵,2023-01-14 04:15:00,https://twitter.com/KevinSusanto/status/1614113816023044096#m,87.0,7.0,0.0,10.0,True
@TheDustyBC,Which one will gain the most in the next 7 days?$ETH$BTC$XRP👇                👇              👇,2023-01-14 02:20:00,https://twitter.com/TheDustyBC/status/1614084850759131138#m,332.0,22.0,3.0,93.0,True
@HollanderAdam,Holy$ETH🤯,2023-01-14 02:15:00,https://twitter.com/HollanderAdam/status/1614083787708837889#m,23.0,0.0,0.0,2.0,True
@TitanEverRise,"This is just a reminder that$RISEis kind of an ETF, which includes$bnb,$eth,$matic,$ftm,$avax, and, of course,$riseitself",2023-01-14 01:55:00,https://twitter.com/TitanEverRise/status/1614078766896013312#m,146.0,77.0,1.0,98.0,True
@scottmelker,1.5K all day.$ETH,2023-01-14 01:55:00,https://twitter.com/scottmelker/status/1614078182952685569#m,281.0,14.0,2.0,129.0,True
@6Foot4Honda,"I sold all of@my$magicand$ETHright before the pump 

you’re welcome everyone",2023-01-14 01:40:00,https://twitter.com/6Foot4Honda/status/1614074087932047362#m,60.0,1.0,0.0,11.0,True
@CryptoMichNL,"And funding for$ETHis at 0.15% at ByBit. 

How quick things change.",2023-01-14 01:10:00,https://twitter.com/CryptoMichNL/status/1614066544547618816#m,188.0,9.0,2.0,112.0,True
@TheDustyBC,Which one is your favorite#Crypto?$BNB$ETH$XRP👇                👇              👇,2023-01-15 22:05:00,https://twitter.com/TheDustyBC/status/1614745649173381121#m,317.0,14.0,0.0,40.0,True
@cburniske,"Lots of “muhhhh bear mkt rally” folks, often alluding to 2019. 

In 2019$BTC&$ETHmore than 4x’d intra-year, with some long tails outperforming.

Painful to be on the sidelines for a move like that. I’d prefer to enjoy the ride and buy more if we significantly retrace later.",2023-01-15 21:05:00,https://twitter.com/cburniske/status/1614729782213902336#m,321.0,34.0,3.0,22.0,True
@wizardofsoho,$ETHwill hit $10k this week. If it doesn’t I will delete my account,2023-01-15 18:55:00,https://twitter.com/wizardofsoho/status/1614697808623181826#m,169.0,3.0,1.0,41.0,True
@HypeManAlex,"I will buy an$ETHevery day until#ETHreaches $5,000.",2023-01-15 17:30:00,https://twitter.com/HypeManAlex/status/1614676333765722113#m,18.0,12.0,0.0,6.0,True
@PowerHasheur,"Petite question, connaissez-vous vous un DEX qui permet de réaliser un ordre au marché ou limit avec une condition temporelle uniquement ?

Je cherche des alternatives au DCA de façon décentralisé. 

EX: Swap auto from 100USDC to 0.XX$ETHevery 30D",2023-01-15 13:50:00,https://twitter.com/PowerHasheur/status/1614620563833487360#m,471.0,38.0,3.0,171.0,True
